Telephely,Leltárhely megn.,Anyagnem,HETK kód,Eszköz,Megnevezés,Mennyiség,Bázis menny.egység,Eszközosztály,Gyártási szám
AHA7700524,Minősített rendszerek,31,403051014000,130000030124,AT8516 TEMPEST SWITCH LEV-A,1,DB,13111000,.01032
AHA7700524,Minősített rendszerek,31,401205117200,130000032246,SZERVER,1,DB,13112200,93112501
AHA7700524,Minősített rendszerek,31,401108060008,130000116721,Szamitogep konfiguracio,1,DB,13111000,D9502117
AHA7700524,Minősített rendszerek,31,401108060008,130000116783,Szamitogep konfiguracio,1,DB,13111000,MH54/028
AHA7700524,Minősített rendszerek,31,401108061600,130000161226,"Pentium IV 2,8GHz számítógép",1,DB,13111000,CZC4400CBM
AHA7700524,Minősített rendszerek,31,403059155206,130000168801,Cisco CC-WS-C2950 12 Port switch,1,DB,13111000,FHK0717Y02S
AHA7700524,Minősített rendszerek,31,401174002407,130000176134,Tempest AMSG720B tápszűrő,1,DB,13111000,261191
AHA7700524,Minősített rendszerek,31,401174002407,130000176135,Tempest AMSG720B tápszűrő,1,DB,13111000,261192
AHA7700524,Minősített rendszerek,31,401174002407,130000176136,Tempest AMSG720B tápszűrő,1,DB,13111000,261190
AHA7700524,Minősített rendszerek,31,401129005010,130000206454,HP ProDesk 400 G6 i5-10400T szgép 2 GHz,1,DB,13111000,8CC2200YP0
AHA7700524,Minősített rendszerek,31,401129005010,130000208295,HP ProDesk 400 G6 i5-10400T szgép 2 GHz,1,DB,13111000,8CC12505NV
AHA7700524,Minősített rendszerek,31,401149040106,130000212818,"DELL Latitude Laptop 5520 2,4GHz",1,DB,13111000,DNCVLL3
AHA7700524,Minősített rendszerek,31,401230011300,130000224375,HPE DL360 Gen10+ 8SFF CTO szerver,1,DB,13111000,CZJ3350XVB
AHA7700524,Minősített rendszerek,31,401230011300,130000224376,HPE DL360 Gen10+ 8SFF CTO szerver,1,DB,13111000,CZJ3350XV9
AHA7700524,Minősített rendszerek,31,401166000803,130000229721,HP Elite Mini 600 G9 i5-12500T szgép,1,DB,13111000,8CC32505N6
AHA7700524,Minősített rendszerek,31,401166000803,130000229722,HP Elite Mini 600 G9 i5-12500T szgép,1,DB,13111000,8CC32505M9
AHA7700524,Minősített rendszerek,31,401166000803,130000229723,HP Elite Mini 600 G9 i5-12500T szgép,1,DB,13111000,8CC32505M7
AHA7700524,Minősített rendszerek,31,401129005010,130000245747,HP ProDesk 400 G6 i5-10400T szgép 2 GHz,1,DB,13111000,8CC12505NR
AHA7700524,Minősített rendszerek,31,401129005010,130000245748,HP ProDesk 400 G6 i5-10400T szgép 2 GHz,1,DB,13111000,8CC12505P0
AHA7700524,Minősített rendszerek,31,401166000803,130000245749,HP Elite Mini 600 G9 i5-12500T szgép,1,DB,13111000,8CC32505MY
AHA7700524,Minősített rendszerek,31,401166000803,130000245750,HP Elite Mini 600 G9 i5-12500T szgép,1,DB,13111000,8CC32505M5
AHA7700524,Minősített rendszerek,31,401166000803,130000245751,HP Elite Mini 600 G9 i5-12500T szgép,1,DB,13111000,8CC32505MZ
AHA7700524,Minősített rendszerek,31,401166000803,130000245752,HP Elite Mini 600 G9 i5-12500T szgép,1,DB,13111000,8CC32505N8
AHA7700524,Minősített rendszerek,31,401166000803,130000245753,HP Elite Mini 600 G9 i5-12500T szgép,1,DB,13111000,8CC32505MD
AHA7700524,Minősített rendszerek,31,401166000803,130000245754,HP Elite Mini 600 G9 i5-12500T szgép,1,DB,13111000,8CC32505N2
AHA7700524,Minősített rendszerek,31,401166000803,130000245755,HP Elite Mini 600 G9 i5-12500T szgép,1,DB,13111000,8CC32505N4
AHA7700524,Minősített rendszerek,31,401166000803,130000245756,HP Elite Mini 600 G9 i5-12500T szgép,1,DB,13111000,8CC32505MQ
AHA7700524,Minősített rendszerek,31,401166000803,130000245757,HP Elite Mini 600 G9 i5-12500T szgép,1,DB,13111000,8CC32505MH
AHA7700524,Minősített rendszerek,31,401166000803,130000245758,HP Elite Mini 600 G9 i5-12500T szgép,1,DB,13111000,8CC32505N3
AHA7700524,Minősített rendszerek,31,401166000803,130000245759,HP Elite Mini 600 G9 i5-12500T szgép,1,DB,13111000,8CC32505MR
AHA7700524,Minősített rendszerek,31,401166000803,130000245760,HP Elite Mini 600 G9 i5-12500T szgép,1,DB,13111000,8CC32505N5
AHA7700524,Minősített rendszerek,31,403011103300,130000249994,HP LaserJet E42540F MFP A4 nyomtató,1,DB,13111000,CNBRS5160B
AHA7700524,Minősített rendszerek,31,401166001108,130000254308,HP Elite Mini 600 G9 i5-13500T szgép,1,DB,13111000,8CC4283867
AHA7700524,Minősített rendszerek,31,401230012100,130000257874,HPE DL360 Gen10+ 8SFF NC CTO szerver,1,DB,13111000,CZUD2100HP
AHA7700524,Minősített rendszerek,31,403482004810,130000257876,HPE MSA 2060 16GB FC SFF storage,1,DB,13111000,ACV437W1TR
AHA7700524,Minősített rendszerek,11,654413264000,130000258947,HNV-660 kézi GPS vevő,1,DB,13113100,4TFGLC
AHA7700524,Minősített rendszerek,15,772756002310,130000260458,Rögzített tűzirányító központ,1,DB,13113120,N0013A29752
AHA7700524,Minősített rendszerek,31,401166001108,130000262106,HP Elite Mini 600 G9 i5-13500T szgép,1,DB,13111000,8CC4283869
AHA7700524,Minősített rendszerek,31,401166001108,130000262107,HP Elite Mini 600 G9 i5-13500T szgép,1,DB,13111000,8CC428386P
AHA7700524,Minősített rendszerek,31,401166001108,130000262108,HP Elite Mini 600 G9 i5-13500T szgép,1,DB,13111000,8CC4283873
AHA7700524,Minősített rendszerek,31,401166001108,130000262109,HP Elite Mini 600 G9 i5-13500T szgép,1,DB,13111000,8CC4283874
AHA7700524,Minősített rendszerek,31,401166001108,130000262110,HP Elite Mini 600 G9 i5-13500T szgép,1,DB,13111000,8CC428386B
AHA7700524,Minősített rendszerek,31,401166001108,130000262111,HP Elite Mini 600 G9 i5-13500T szgép,1,DB,13111000,8CC428386T
AHA7700524,Minősített rendszerek,31,401166001108,130000262112,HP Elite Mini 600 G9 i5-13500T szgép,1,DB,13111000,8CC428386J
